Y,X11_date,X1_G,X2_OG,X3_W,X4_OW,X5_L,X6_OL,X7_S,X8_OS,X9_D,X10_Sta,C1_DFri,C1_DSat,C1_DSun,C2_East,C3_OEast,C4_DATL,C4_DNW,C4_DP,C4_DSE,C4_DSW,C5_ODATL,C5_ODNW,C5_ODP,C5_ODSE,C5_ODSW
21501,1,1,2,0,1,0,0,0,1,985,20917,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
19049,1,1,1,0,0,0,0,0,0,637,18118,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
17608,1,2,2,1,1,0,0,1,1,1739.7,17608,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
19500,1,2,1,1,0,0,0,1,0,967,19980,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19600,2,2,2,1,1,0,0,1,1,727.5,19600,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
19911,2,2,2,0,1,1,0,-1,1,692.8,18303,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20163,2,2,2,0,0,1,1,-1,-1,242.2,19200,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
17732,2,2,2,0,1,1,0,-1,1,728,17732,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
18217,2,2,2,0,0,1,1,-1,-1,2255,16867,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19122,2,2,2,0,0,1,1,-1,-1,1196.7,22076,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
19800,2,2,2,1,1,0,0,1,1,467.9,19800,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
18203,2,2,2,1,0,0,1,1,-1,959.2,18203,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12570,3,2,3,0,1,1,1,-1,1,890.1,18717,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
21373,3,2,3,1,1,0,1,1,-1,184.4,20917,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
20562,3,3,3,2,0,0,2,2,-2,1036.8,20562,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
18708,3,3,3,2,1,0,1,2,-1,838.5,19077,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
17608,3,3,2,1,0,1,1,-1,-1,1882.5,17608,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
18055,3,2,3,1,1,0,1,1,-1,1240.6,19155,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
16312,3,2,2,0,1,1,0,-1,1,770.9,20328,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0
18418,3,3,3,2,0,0,2,2,-2,536.7,18418,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
19060,4,2,3,1,1,0,1,1,1,690.7,19060,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
15573,4,3,2,1,0,1,1,-1,-1,880.8,18119,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
19678,4,3,4,1,3,1,0,-1,3,1375.5,19600,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
15161,4,3,3,1,1,1,1,1,1,403.8,22076,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
18055,4,3,3,1,0,1,2,1,-2,242.3,18055,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
17011,4,3,3,0,1,2,1,-2,1,736.6,18422,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
18203,4,3,3,2,1,0,1,2,-1,1331.3,18203,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
11374,8,5,5,2,2,2,2,1,1,279.3,18717,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20562,8,5,5,4,3,0,1,4,2,640.6,20562,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
17026,8,5,6,1,2,3,3,1,-2,2890.1,18846,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
11219,8,4,4,1,1,2,2,1,-2,913.2,19356,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
19596,8,5,5,3,4,1,0,3,4,1610.8,19596,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
22376,9,5,5,3,1,1,3,-1,-2,792.9,20917,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
17115,9,6,5,3,3,2,1,1,-1,1798,18119,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19911,9,6,6,3,4,2,1,2,-1,1311.6,18303,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18997,9,6,6,2,4,3,1,1,4,365.4,18997,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19475,9,5,6,0,2,4,3,-4,-2,2032.7,19200,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
15775,9,6,5,2,3,3,1,1,1,627.1,17732,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
15379,9,6,6,0,1,5,4,-5,1,1519.4,16867,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19800,9,5,5,3,2,1,2,2,1,1483.8,19800,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
14663,9,4,5,0,3,3,1,-3,-1,637.9,20356,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
16021,10,6,7,3,2,2,4,2,-3,2088.2,18717,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
16895,10,6,6,3,3,2,2,-2,1,793.3,18118,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
18846,10,6,5,2,1,3,3,2,1,846.6,18846,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0
17020,10,6,6,2,3,3,2,-1,-2,184.1,17923,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
16218,10,6,5,3,2,2,2,-1,1,1290.3,22076,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
20497,10,5,6,0,5,4,0,-4,5,435,20328,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
18418,10,7,6,5,4,1,1,1,1,1358.1,18418,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
18203,10,6,5,4,1,1,3,-1,-1,788.6,18203,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
17452,11,6,6,3,2,2,3,-1,-1,1969.9,18624,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
16233,11,7,7,3,3,3,3,-1,1,2245.8,18119,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
19812,11,6,7,2,3,3,3,1,-1,2173.5,19812,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
18997,11,7,7,3,2,3,4,2,2,374.4,18997,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
19345,11,6,7,0,4,5,2,-5,3,1002.1,19200,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
19800,11,6,8,4,2,1,5,3,-4,2549.6,19800,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
12159,15,8,9,4,0,3,8,-1,-8,1014.4,18717,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
19600,15,7,9,2,4,4,4,-2,-1,1379.1,19600,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
17608,15,10,9,4,4,5,4,2,-1,386.4,17608,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
17569,15,8,9,3,6,4,2,-1,2,1252.8,19155,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18624,16,8,8,3,3,4,4,-3,1,213.6,18624,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
18107,16,8,8,6,5,1,2,4,1,759.2,19077,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
18846,16,9,10,3,5,5,4,-2,-1,2311.2,18846,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
17643,16,8,9,0,4,7,4,-7,1,647.7,20328,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
18418,16,9,9,5,4,3,4,-2,-2,1486.1,18418,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18203,16,9,9,6,7,2,1,-1,4,1331.3,18203,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19918,16,10,11,5,4,4,6,-1,-1,579.8,19980,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20356,16,8,8,2,6,5,1,1,-1,372.9,20356,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
14327,17,9,9,4,4,4,4,-2,1,623,18717,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
21962,17,10,9,5,2,4,6,1,-1,705.2,20917,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
